source_doc,model_id,model_name,engagement_type,health_outcome,age_group,valuation_method,individual_impacts,nhs_social_care_savings,productivity_impacts,total_per_person,unit,price_year,notes
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),1,General engagement and general health,"Museum, gallery, heritage, cinema, theatre, concert",General health,30–49,QALY (Green Book),854,0,138,992,GBP_2024/person/year,2024,
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),2a,General attendance and mental health,General cultural attendance,Mental health functioning,30–49,QALY (Green Book),559,0,91,649,GBP_2024/person/year,2024,
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),2b,General participation and mental health,Arts & culture participation,Mental health functioning,30–49,QALY (Green Book),386,0,63,448,GBP_2024/person/year,2024,
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),3,Extracurricular activities and externalising behaviour,"Dance, music, art, performing arts classes",Emotional regulation / ADHD,10–14,QALY (Green Book),122,0,0,122,GBP_2024/person/year,2024,Productivity not modelled for children
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),4a,Art and self-esteem in children,"Drawing, painting, making things",Mental health functioning,10–14,WELLBY,134,0,0,134,GBP_2024/person/year,2024,WELLBY-based; not directly comparable to QALY models. Productivity not modelled for children
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),4b,Music and self-esteem in children,Music listening / playing,Mental health functioning,10–14,WELLBY,68,0,0,68,GBP_2024/person/year,2024,WELLBY-based; not directly comparable to QALY models. Productivity not modelled for children
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),5a,Weekly organised arts and mental health,"Art, music, theatre activities (participatory or attendance), once/week",Mental health functioning,18–29,WELLBY,663,0,86,748,GBP_2024/person/year,2024,WELLBY-based; not directly comparable to QALY models
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),5b,Daily organised arts and mental health,"Art, music, theatre activities, almost daily",Mental health functioning,18–29,WELLBY,1098,0,142,1240,GBP_2024/person/year,2024,WELLBY-based; not directly comparable to QALY models
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),6,Arts-based museum activities and general health,"Arts activity at museum, weekly × 12 weeks",General health,65+,QALY (Green Book),1164,0,146,1310,GBP_2024/person/year,2024,
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),7,Choirs and general health,"Choir participation, weekly × 14 weeks",General health,65+,QALY (Green Book),481,0,71,553,GBP_2024/person/year,2024,
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),8,Cultural venues and depression,"Theatre, concert, cinema, gallery, museum, every few months+",Depression incidence,50+,QALY (Green Book),232,26,56,314,GBP_2024/person/year,2024,NHS/social care savings modelled via avoided depression treatment
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),9,Cultural venues and dementia,"Theatre, concert, gallery, museum, every few months+",Dementia incidence,50+,QALY (Green Book),66,75,7,148,GBP_2024/person/year,2024,NHS/social care savings modelled via avoided dementia treatment
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),10,Museums and dementia,"Museums, galleries, exhibitions, every few months+",Dementia incidence,50+,QALY (Green Book),159,189,21,369,GBP_2024/person/year,2024,NHS/social care savings modelled via avoided dementia treatment
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),11a,Visual art therapy — breast cancer,"Visual art therapy in clinical setting (drawing, painting, bookmaking, mindfulness)",Quality of life,18+ (cancer patients),WELLBY / QoL,1200,0,0,1200,GBP_2024/person/year,2024,"Green Book valuation. HTA valuation: £730/person/year. Clinical intervention, 5–12 weeks"
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),11b,Visual art therapy — all other cancers,Visual art therapy in clinical setting,Quality of life,18+ (cancer patients),WELLBY / QoL,1600,0,0,1600,GBP_2024/person/year,2024,"Green Book valuation. HTA valuation: £450/person/year. Clinical intervention, 5–12 weeks"
