source_doc,model_id,model_name,age_group,total_per_person_GBP2024,estimated_engagers,society_wide_total_GBP2024,unit_per_person,unit_societal,price_year,notes
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),1,General engagement and general health,30–49,992,8103000,8040000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),2a,General attendance and mental health,30–49,649,3201000,2080000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),2b,General participation and mental health,30–49,448,9855000,4420000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),3,Extracurricular activities,10–14,122,1911000,230000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),4a,Art and self-esteem in children,10–14,134,911000,120000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),4b,Music and self-esteem in children,10–14,68,2380000,160000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),5a,Weekly organised arts and mental health,18–29,748,1074000,800000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),5b,Daily organised arts and mental health,18–29,1240,586000,730000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),6,Arts-based museum activities,65+,1310,14000,20000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),7,Choirs and general health,65+,553,307000,170000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),8,Cultural venues and depression,50+,314,9646000,3030000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),9,Cultural venues and dementia,50+,148,5018000,740000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
Frontier Economics / DCMS: Health and Wellbeing Final Report (December 2024),10,Museums and dementia,50+,369,4077000,1500000000,GBP_2024/person/year,GBP_2024/year,2024,Society-wide totals not additive across models (different populations/methods)
